n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.5,20,0.191647781787944,0.184993341270006,0.0794476514937835,0.251156653274923,GCCAprior1
1000,100,100,5,0.5,21,0.236940306168327,0.0044545140527934,0.0457831890271993,0.170624031680622,GCCAprior1
1000,100,100,5,0.5,22,0.204296733852329,0.012796091778413,0.039602838801342,0.744915416332825,GCCAprior1
1000,100,100,5,0.5,23,0.0795548507704417,0.050572851952208,-0.0327424638547844,0.1548865939986,GCCAprior1
1000,100,100,5,0.5,24,0.156465583294416,0.048276814020312,0.00696008265689646,0.340651194931518,GCCAprior1
1000,100,100,5,0.5,25,0.444336131559639,0.0942513429182916,0.104282707152055,3.68087915419998,GCCAprior1
1000,100,100,5,0.75,1,0.182711125463121,0.217179433612626,0.0364101008131624,0.228032261175293,GCCAprior1
1000,100,100,5,0.75,2,0.364982255793777,0.0288254172809508,0.059859289799921,1.01220533044804,GCCAprior1
1000,100,100,5,0.75,3,0.406066551062852,0.054251585378577,0.0902048956974603,1.45294781902738,GCCAprior1
1000,100,100,5,0.75,4,0.318187003833034,0.155445097640587,0.0428962820426002,0.287564089694596,GCCAprior1
1000,100,100,5,0.75,5,0.336260104528689,0.118620396054787,0.102482281548305,1.28419550807381,GCCAprior1
1000,100,100,5,0.75,6,0.138242491365956,0.0686839734608631,0.00330179345972204,0.00600316542460169,GCCAprior1
1000,100,100,5,0.75,7,0.215362497504674,0.0137237768736238,0.0146834787762524,0.163248627657298,GCCAprior1
1000,100,100,5,0.75,8,0.148402671806351,0.0324103174718343,0.016633370570757,0.349557654312201,GCCAprior1
1000,100,100,5,0.75,9,0.211295942726077,0.0509286674840514,0.0197544130861671,0.0469040137493433,GCCAprior1
1000,100,100,5,0.75,10,0.409468967240402,0.100152698453433,0.0281943999682668,1.18595008536183,GCCAprior1
1000,100,100,5,0.75,11,0.221650619503145,0.247396994844669,0.0338895827229667,0.351496280209569,GCCAprior1
1000,100,100,5,0.75,12,0.164459375875272,0.193143910877989,0.0302429723741968,0.206685503118669,GCCAprior1
1000,100,100,5,0.75,13,0.749310479950527,0.215375839605368,0.2060644660135,0.937273981291287,GCCAprior1
1000,100,100,5,0.75,14,0.310753765454943,0.145274514648136,0.0830584642616877,0.377761023998228,GCCAprior1
1000,100,100,5,0.75,15,0.182737886190198,0.0345646262641849,0.0293596928464811,0.029005048903911,GCCAprior1
1000,100,100,5,0.75,16,0.180354695426874,0.0194161552832992,0.0147318963521611,0.042335554761766,GCCAprior1
