n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,10,0.5,11,0.1837783937259,0.0161681393127573,0.036807372252414,0.848228554699544,SCCA
1000,100,100,10,0.5,12,0.11161792569857,0.0760208659070223,0.0151111433810891,0.543248591819552,SCCA
1000,100,100,10,0.5,13,0.609192121209219,1,0.615586272374328,2.08003992038486,SCCA
1000,100,100,10,0.5,14,0.0596042771624564,0.00727347861278271,0.00660526544710671,0.259836099818287,SCCA
1000,100,100,10,0.5,15,0.133854865489212,0.0779395064430672,0.0481224694993896,0.298288732231288,SCCA
1000,100,100,10,0.5,16,0.116111171186335,0.0224385001897442,0.0752958006652605,0.6292883921695,SCCA
1000,100,100,10,0.5,17,0.0813575907333366,0.255791592464749,0.067254340372593,0.494181391949921,SCCA
1000,100,100,10,0.5,18,0.184423835129964,0.0762495171447301,0.0652844174489337,0.0384682573549456,SCCA
1000,100,100,10,0.5,19,0.232315067829557,0.07703198516493,0.019352700577306,0.397743295642076,SCCA
1000,100,100,10,0.5,20,0.0875566969670263,0.255791592464749,0.034720164937192,0.388755235786608,SCCA
1000,100,100,10,0.5,21,0.110252027599009,0.255791592464749,0.0429119820900963,0.646384872225498,SCCA
1000,100,100,10,0.5,22,0.17812571994352,0.00205309101105544,0.0114589052500617,0.380323779644336,SCCA
1000,100,100,10,0.5,23,0.113164781196951,0.0212974371652027,0.0260980599247262,0.312428728116528,SCCA
1000,100,100,10,0.5,24,0.0955360701381328,0.0757054690594023,0.0421059277653096,0.680267702701565,SCCA
1000,100,100,10,0.5,25,0.233127231917418,0.503861061643166,0.224888741694668,0.898460671929585,SCCA
1000,100,100,10,0.75,1,0.472270861787313,0.88233031891709,0.184082556613836,2.22784218670334,SCCA
1000,100,100,10,0.75,2,0.382560400167384,0.255791592464749,0.168200025840055,1.98127212475815,SCCA
1000,100,100,10,0.75,3,0.283619173730601,0.0224186378677562,0.052178971303498,0.216227796143406,SCCA
1000,100,100,10,0.75,4,0.642922739473471,0.634631723515332,0.141603559549315,1.49278701944805,SCCA
1000,100,100,10,0.75,5,0.4524786554705,0.0906039934797667,0.0831812085747968,1.61895264385999,SCCA
1000,100,100,10,0.75,6,0.75042038979169,1,0.240009530474461,2.20838398901963,SCCA
1000,100,100,10,0.75,7,0.218153953043484,0.0256083732009548,0.0120077316639763,0.702765692394842,SCCA
1000,100,100,10,0.75,8,0.393846472954894,0.0337198485530956,0.110762422831533,0.413170049611254,SCCA
