n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.75,2,0.706770021354803,0.0651332271924693,0.148922442319693,4.36935581440732,GCCAno-prior
1000,100,100,5,0.75,3,0.222490820338871,0.0337872524035792,0.0410766531137002,1.33204733324079,GCCAno-prior
1000,100,100,5,0.75,4,0.344365522031046,0.286233873726206,0.0184259001183939,0.162610128605965,GCCAno-prior
1000,100,100,5,0.75,5,0.102192936020941,0.171696510169229,0.010931065812993,0.204685331022908,GCCAno-prior
1000,100,100,5,0.75,6,0.685783503905209,0.250606420686064,0.203783463840885,2.76839966817311,GCCAno-prior
1000,100,100,5,0.75,7,0.252087766851244,0.0195709616358672,0.0187605375640345,0.236846676801682,GCCAno-prior
1000,100,100,5,0.75,8,0.660889669550542,0.260601499950668,0.158707978109334,4.09351501939098,GCCAno-prior
1000,100,100,5,0.75,9,0.934074330655038,0.881371807642598,0.314980869831722,4.252941768862,GCCAno-prior
1000,100,100,5,0.75,10,0.361836319719155,0.107785228113173,0.00391052660991587,0.62149684423308,GCCAno-prior
1000,100,100,5,0.75,11,0.564584175589362,0.0593204032857571,0.205232666429151,3.19719472755378,GCCAno-prior
1000,100,100,5,0.75,12,0.981964849875017,0.745352139898886,0.235172310688703,1.11588778417736,GCCAno-prior
1000,100,100,5,0.75,13,0.23777046364297,0.00512379364938942,0.0578066503890372,0.37727094298395,GCCAno-prior
1000,100,100,5,0.75,14,0.517987065414204,0.189891881375203,0.154118042514655,2.31483365611187,GCCAno-prior
1000,100,100,5,0.75,15,0.613957370202846,0.120726081174608,0.0844456201135231,1.99310394936049,GCCAno-prior
1000,100,100,5,0.75,16,0.903416737117252,0.547258994264954,0.164237985601648,2.57870117481812,GCCAno-prior
1000,100,100,5,0.75,17,0.488829521972399,0.237417360079346,0.0407138367781126,3.86818361298896,GCCAno-prior
1000,100,100,5,0.75,18,0.408949193089317,0.248061668197088,0.125150308953481,4.09432693116278,GCCAno-prior
1000,100,100,5,0.75,19,0.639047532593103,0.0267171197052726,0.120102839165759,2.0119319118958,GCCAno-prior
1000,100,100,5,0.75,20,0.307678792112487,0.167880638617148,0.0737383124255614,0.117145215142516,GCCAno-prior
1000,100,100,5,0.75,21,0.594894852824979,0.0112760608014797,0.168736181583573,2.98893970331985,GCCAno-prior
1000,100,100,5,0.75,22,0.331880097770285,0.193714670948974,0.0992602071727919,0.570045389065761,GCCAno-prior
1000,100,100,5,0.75,23,0.536995883712226,0.118947618395571,0.0836160033480795,1.38240870399804,GCCAno-prior
1000,100,100,5,0.75,24,0.684243707476804,0.0437078483919979,0.173111779639719,5.18554613335369,GCCAno-prior
1000,100,100,5,0.75,25,0.542697982038888,0.0501001051165426,0.158474756377256,2.33330269573701,GCCAno-prior
1000,100,100,10,0.5,1,0.322751441625109,0.0627623044395668,0.0638602723194294,0.548002260048858,GCCAno-prior
1000,100,100,10,0.5,2,0.44085535547832,0.392914588661506,0.246193556060202,1.56876863865524,GCCAno-prior
1000,100,100,10,0.5,3,0.356436944222602,0.0260587315002249,0.0869294600033769,0.592830816295756,GCCAno-prior
1000,100,100,10,0.5,4,0.231163973610041,0.0967267196263276,0.0578198893024297,0.558553354411649,GCCAno-prior
1000,100,100,10,0.5,5,0.111692016813709,0.0179032157496933,0.0144139192041737,0.546983454627777,GCCAno-prior
1000,100,100,10,0.5,6,0.0893489332036435,0.00991305562949241,0.0250185506952236,0.608369949892642,GCCAno-prior
1000,100,100,10,0.5,7,0.322866776349361,0.0700057097177973,0.0185354825441794,1.57378718929575,GCCAno-prior
1000,100,100,10,0.5,8,0.180225422219521,0.161897234783531,0.00722606966972827,0.368168284133057,GCCAno-prior
1000,100,100,10,0.5,9,0.323628345956425,0.0877186351972876,0.0905923127792376,0.457346163876077,GCCAno-prior
1000,100,100,10,0.5,10,0.250486399161565,0.253552230856655,0.0576056218316303,1.21720719494557,GCCAno-prior
1000,100,100,10,0.5,11,0.175003256129886,0.0155663811268261,0.0589329278938112,1.20027094204164,GCCAno-prior
1000,100,100,10,0.5,12,0.119878123325418,0.00216788059047546,0.00737191168724649,0.566644184174393,GCCAno-prior
1000,100,100,10,0.5,13,0.185075014404967,0.00535426553063045,0.00741557117568337,0.652492531658295,GCCAno-prior
1000,100,100,10,0.5,14,0.414628671508975,0.0678520893037168,0.164943346502445,0.7869133935625,GCCAno-prior
1000,100,100,10,0.5,15,0.215795779562772,0.110065466675439,0.0636765343356701,0.292234753115299,GCCAno-prior
1000,100,100,10,0.5,16,0.121281598381715,0.0192727763430979,0.0504621873747068,0.622853537021304,GCCAno-prior
1000,100,100,10,0.5,17,0.146518798780329,0.223621291124872,0.0833755693782959,0.337957179614237,GCCAno-prior
1000,100,100,10,0.5,18,0.353736897954719,0.0348939618027715,0.0698536207916016,1.68684974575858,GCCAno-prior
1000,100,100,10,0.5,19,0.293404256213323,0.109278675619453,0.019848632197236,0.60827153520686,GCCAno-prior
1000,100,100,10,0.5,20,0.372114562533203,0.028452609779836,0.0600664656522175,1.40113854490811,GCCAno-prior
1000,100,100,10,0.5,21,0.300353383303764,0.187633166571953,0.060797156288087,0.340906811363055,GCCAno-prior
1000,100,100,10,0.5,22,0.255941214304647,0.000871644916041303,0.0221459635426394,0.492708548072506,GCCAno-prior
1000,100,100,10,0.5,23,0.276943467723269,0.1061295520869,0.0706650987989841,0.607266575731767,GCCAno-prior
1000,100,100,10,0.5,24,0.115899638936419,0.0181852989466528,0.0306878024348951,0.889290999911251,GCCAno-prior
1000,100,100,10,0.5,25,0.473730742647854,0.0209505601478743,0.0910908713892327,1.33503355177923,GCCAno-prior
